stimulus_id,stimulus_label,title,dataset_id,composition_id,event_id,chord_id,midi,pc_set,surprisal_rating_mean,surprisal_rating_sd,surprisal_rating_n,surprisal_rating_se,probability,information_content,milne_2011,onset,offset,leman_2000_v1,leman_2000_v2,leman_2000_v3,leman_2000_v4,leman_2000_v5,leman_2000_v6,collins_2014,melody_midi,melody_information_content,melody_entropy,melody_dist,vl_dist,incon
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band: The Other Guy,2,201,32,6,50 65 69,2 5 9,-0.164680280563103,0.699559225404819,25,0.139911845080964,0.0399687505361518,4.64498371642774,0.2416037146342056,5,6,1.206903757874195,1.1421679675429086,1.1090739211756993,1.9966585698969548,1.7483787969299331,1.6258458326985274,-190609.02694156903,69,2.5351124,3.039286,0,8,1.909752299744979
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band: The Other Guy,2,201,33,7,53 60 69,0 5 9,NA,NA,0,NA,0.108490826003472,3.20435504151594,0.2416037146342056,6,7,1.5454577766259623,1.4158330770551362,1.3290822024924782,2.301656126965711,1.9550448816421424,1.7746206389112194,-191938.35064076935,69,1.4481034,2.2598732,0,8,2.0694038302573015
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band: The Other Guy,2,201,34,8,50 65 69,2 5 9,NA,NA,0,NA,0.39947104748142,1.32383715035392,0.2416037146342056,7,8,1.3741073450255354,1.3096893673035295,1.2682545749242757,2.425911884701435,2.1097354385566294,1.9273486636951873,-189075.20506699037,69,1.0764593,2.4914432,0,8,1.909752299744979
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James: Super Freak Part One,2,485,161,1,57 60 64,0 4 9,NA,NA,0,NA,0.0065562726504983,7.25290843276549,NA,0,1,2.6379045822717533,2.605745632558485,2.5882351849164342,4.374588855294281,4.194182302082845,4.105931357659389,-10752.294469514243,64,5.4594316,5.45943,NA,NA,1.8326296863731701
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James: Super Freak Part One,2,485,162,2,55 62 71,2 7 11,NA,NA,0,NA,0.0567812283636795,4.13844213016258,0.655551936899875,1,2,1.0140355030778538,0.9394123733328373,0.8986806401193045,2.0986951100258637,1.8912078642382422,1.789370654245941,-43091.79960347921,71,6.464037,3.271069,7,11,2.0832048202913276
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James: Super Freak Part One,2,485,163,3,57 60 64,0 4 9,NA,NA,0,NA,0.0679655592706138,3.87905232659745,0.655551936899875,2,3,1.3261336467686007,1.32495259204748,1.3308106302487692,2.624572859243194,2.4889832063266217,2.4276844758173297,-55426.45943185345,64,5.741506,3.0712194,7,11,1.8326296863731701
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James: Super Freak Part One,2,485,164,4,50 60 64 69,0 2 4 9,NA,NA,0,NA,0.015218175564314,6.03806077850789,0.08433910667593647,3,4,1.6240925485315114,1.5323860099350264,1.4870851118099107,2.3704545442317073,2.166433038970266,2.075459230199776,-75690.78817719371,69,3.9313428,3.0167398,5,12,1.2459280867120652
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James: Super Freak Part One,2,485,165,5,57 60 64,0 4 9,NA,NA,0,NA,0.0793667369492471,3.65532169743263,0.08433910667593647,4,5,1.983334269959735,1.8663581432578973,1.7999323922948323,2.64097583064137,2.346956105944367,2.2066184177723716,-101365.5938033989,64,4.4046683,3.1890955,5,12,1.8326296863731701
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James: Super Freak Part One,2,485,166,6,55 62 71,2 7 11,-0.463306510373288,0.707019894609631,24,0.144319831649161,0.116778772244058,3.09815004636757,0.655551936899875,5,6,0.8027723768163599,0.7482421934890153,0.7270727508206202,1.751761172524569,1.601717713043495,1.542991244936872,-118871.29397343849,71,6.1395397,3.2205188,7,11,2.0832048202913276
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James: Super Freak Part One,2,485,167,7,57 60 64,0 4 9,NA,NA,0,NA,0.27839724812409,1.84478314425155,0.655551936899875,6,7,1.4438399362538583,1.4478924013005747,1.450763750411411,2.345072018217023,2.15512303773547,2.0748278396203212,-109240.80949861271,64,2.6512926,3.000472,7,11,1.8326296863731701
