id,label,genre,dataset-id,reduce-harmony,target-chord-position-1-indexed,milne-target,milne-full-seq,h-cpitch-stm-ic,h-cpitch,music-data,c-id,e-id,first-e-id,last-e-id,num-pcs-in-chords,ic,ic-category
23,id=23_genre=classical_c-id=959_e-id=55_ic_category_1,CLASSICAL,1,T,6,0.1043687507,"(0.7735217984d0 0.7624995994d0 0.4029451379d0 0.3141562376d0 0.1043687507d0
 0.4154672157d0 0.2863351795d0)",3.4583433,"((58 60 64 67) (53 61 68) (48 67 70) (53 60 68) (58 62 65 68) (58 62 65)
 (51 67 70) (56 60 63 67))",#<HARMONIC-SEQUENCE {103A54A833}>,959,55,50,57,(4 3 3 3 4 3 3 4),5.7009993,1
24,id=24_genre=classical_c-id=1019_e-id=10_ic_category_1,CLASSICAL,1,T,6,0.4154672157,"(0.254644365d0 0.2835411514d0 0.5025801494d0 0.498340002d0 0.4154672157d0
 0.6555519402d0 0.6225212772d0)",3.225897,"((57 61 64) (49 64 66) (52 61 68 69) (50 66 69 71) (52 68 71) (57 61 64)
 (59 62 66) (54 60 63 68))",#<HARMONIC-SEQUENCE {103A54A9F3}>,1019,10,5,12,(3 3 4 4 3 3 3 4),2.0069375,1
25,id=25_genre=classical_c-id=543_e-id=352_ic_category_1,CLASSICAL,1,T,6,0.7447360263,"(0.4154672157d0 0.4154672157d0 0.1704148442d0 0.4424413227d0 0.7447360263d0
 0.3622720782d0 0.2597398588d0)",3.1411378,"((49 65 70) (48 65 68) (49 65 70) (53 68 70) (58 61 67) (48 64 65 69)
 (53 60 68) (49 65 68))",#<HARMONIC-SEQUENCE {103A54AB93}>,543,352,347,354,(3 3 3 3 3 4 3 3),9.18182,1
26,id=26_genre=classical_c-id=754_e-id=170_ic_category_1,CLASSICAL,1,T,6,0.2956293074,"(0.4171903988d0 0.6149552825d0 0.5455992909d0 0.2863351795d0 0.2956293074d0
 0.5445946938d0 0.5873829071d0)",3.1869042,"((58 62 65) (58 60 63 67) (58 61 64) (58 62 65) (58 62 63 67) (58 64 67)
 (58 65 68) (58 62 67))",#<HARMONIC-SEQUENCE {103A54AD43}>,754,170,165,172,(3 4 3 3 4 3 3 3),12.572261,1
27,id=27_genre=classical_c-id=523_e-id=268_ic_category_1,CLASSICAL,1,T,6,0.6512210658,"(0.1043687507d0 0.2134506033d0 0.6434166946d0 0.5873829071d0 0.6512210658d0
 0.7252293133d0 0.088390993d0)",3.4583433,"((57 61 64) (57 61 64 67) (58 61 64 67) (59 62 66) (48 62 69) (54 60 63)
 (55 62 71) (55 62 66 71))",#<HARMONIC-SEQUENCE {103A54AF03}>,523,268,263,270,(3 4 4 3 3 3 3 4),8.596546,1
28,id=28_genre=classical_c-id=448_e-id=80_ic_category_1,CLASSICAL,1,T,6,0.2976272114,"(0.6434166946d0 0.3602850703d0 0.6434166946d0 0.1043687507d0 0.2976272114d0
 0.7319005211d0 0.5013549427d0)",3.2018166,"((58 61 64 67) (57 62 65) (56 62 65 71) (48 64 67) (48 64 67 70) (48 64 65 69)
 (50 66 67 71) (48 64 67))",#<HARMONIC-SEQUENCE {103A54B0E3}>,448,80,75,82,(4 3 4 3 4 4 4 3),6.9097805,1
29,id=29_genre=classical_c-id=819_e-id=286_ic_category_1,CLASSICAL,1,T,6,0.5013549427,"(0.5025801494d0 0.088390993d0 0.0d0 0.4154672157d0 0.5013549427d0
 0.6954176322d0 0.6788598028d0)",3.225897,"((49 64 68 71) (58 63 66 71) (59 63 66) (51 66 71) (52 68 71) (58 63 66 71)
 (52 61 68) (48 64 67))",#<HARMONIC-SEQUENCE {103A54B2A3}>,819,286,281,288,(4 4 3 3 3 4 3 3),11.395262,1
30,id=30_genre=classical_c-id=114_e-id=6_ic_category_1,CLASSICAL,1,T,6,0.4154672157,"(0.4154672157d0 0.4154672157d0 0.0871130066d0 0.0871130066d0 0.4154672157d0
 0.4154672157d0 0.4556727817d0)",3.2283845,"((54 62 69) (55 62 71) (50 66 69) (54 62 69 71) (57 62 66) (57 61 64)
 (50 66 69) (59 62 64 68))",#<HARMONIC-SEQUENCE {103A54B453}>,114,6,1,8,(3 3 3 4 3 3 3 4),0.43571526,1
31,id=31_genre=classical_c-id=113_e-id=5_ic_category_1,CLASSICAL,1,T,6,0.4171903988,"(0.289336902d0 0.4444694471d0 0.6224036406d0 0.7424839778d0 0.4171903988d0
 0.4679847838d0 0.4484576195d0)",3.4583433,"((55 60 64 69) (53 60 69) (50 65 71) (52 60 67) (54 62 69) (55 62 64 71)
 (51 66 69 71) (52 67 71))",#<HARMONIC-SEQUENCE {103A54B613}>,113,5,0,7,(4 3 3 3 3 4 4 3),7.1120152,1
32,id=32_genre=classical_c-id=524_e-id=117_ic_category_1,CLASSICAL,1,T,6,0.7735217984,"(0.337278823d0 0.6954176322d0 0.7459405869d0 0.3875483542d0 0.7735217984d0
 0.3195972737d0 0.3955585127d0)",3.4583433,"((57 62 65 70) (51 62 67 70) (53 60 69) (51 61 67 70) (58 62 65 68) (59 63 66)
 (56 63 65 71) (58 63 66))",#<HARMONIC-SEQUENCE {103A54B7F3}>,524,117,112,119,(4 4 3 4 4 3 4 3),8.541326,1
33,id=33_genre=classical_c-id=1005_e-id=28_ic_category_1,CLASSICAL,1,T,6,0.4767237827,"(0.4154672157d0 0.2863351795d0 0.2976272114d0 0.2239615009d0 0.4767237827d0
 0.6066733029d0 0.2749705464d0)",3.2283845,"((54 62 69) (57 61 64) (50 61 66 69) (49 64 67 69) (57 64) (55 61 64 71)
 (54 62 69) (50 66 70))",#<HARMONIC-SEQUENCE {103A54B9A3}>,1005,28,23,30,(3 3 4 4 2 4 3 3),11.675091,1
